title	artist	nov	adv	exh	mxm	genre	unlockRaw	indexjk	jknov	jkadv	jkexh	jkmxm
FIN4LE ～終止線の彼方へ～	カモメサノエレクトリックオーケストラ	7	15	18	20	sdvx		EAm3prrSVpjPJ5AxY7bYWQ	EAm3prrSVpjPJ5AxY7bYWQ	Lt2TdZyRwXJryVIUwLYnzQ	df912b25VyLOMVPtc_E8qw	1GEkws6PkxLhvMz4VnVSfA
WHITEOUT	かねこちはる	7	15	18	20	sdvx		v1tBq4X7FHoIywyMKeF21A	v1tBq4X7FHoIywyMKeF21A	jzapidZ87UXV3bQaQObP1Q	5Qivz5R5HrSWtGFmo-7eNA	kpkcJZ8mcfaVcKY_GAz3Bw
Mirrorwall	BlackY	6	13	16	18	sdvx		4Ouwkt7cM02iuWSA8GR26w	4Ouwkt7cM02iuWSA8GR26w	CSoLr8tl4crS_NF_4u5-pA	UmntltxVgPmTn4-yj1AOLg	jhIjLVmv28nuuFosz7yFgA
Theme of Ricerca	HuΣeR feat.ゆきまめ	6	11	15	18	bemani		069eNLZctwlhd4COWCm3xg	069eNLZctwlhd4COWCm3xg	YpQ1RfAJ_BYDWO0mcBTc3g	H27LeHf7HiHpLTvjns60QA	vSDiARl-NvVVshIKFn-9Pw
Altale	削除	5	10	13	17	others		3sWOkIVZUv3yoxlfkTjOEQ	3sWOkIVZUv3yoxlfkTjOEQ	h-U57Hx_2Ge6noicSJVrGw	gXBBMJA6G5dAdxzpsrxifQ	gokJ8si718BEnisTCm6LYA
PUPA	モリモリあつし	6	13	16	18	others		1xlppbIUM_9iBqnYfdTK3g	1xlppbIUM_9iBqnYfdTK3g	OILNqy4xp-Mn_hRiLAuFOA	8fWlx-sw-kXjc0VCRvPN9w	7_wNoSFyxSCEAgjSN39EQQ
Game Over	Ancraft	5	11	14	17	floor		WP3EfupBiz-qihi3tqK8_Q	WP3EfupBiz-qihi3tqK8_Q	rfuCwRmsbgz51j2PtmtQEw	UHY8UND4hWNcXBTg6y8ing	9C_PWBGzxHYDNz-R4UVkEg
JUNKIE FLAVOR	yaseta + Hidra-Xjeil	6	12	16	18	floor		2pZ1bldnAfBHRremJ3Ac1Q	2pZ1bldnAfBHRremJ3Ac1Q	lFj99XmlWRFV3tbml5i3HQ	JvHKhsSFCEUCqc0rELLlgw	swB93EdLHFCyFmIJmvZ03A
dreamin' of u	Jun Kuroda	5	10	13	16	floor		TP9mmvW16clPGQFieRr9Zw	TP9mmvW16clPGQFieRr9Zw	EL1mj_OElRR-N--YqBu3ZQ	dJ3b4xa2H44X1JcmMq1i3g	bIsdnQ_f8lnDhlpVlSS4fQ
rhythmology study	古屋直雪	5	11	14	17	floor		3Gk9Wu7_9uHpVqSSL_58Eg	3Gk9Wu7_9uHpVqSSL_58Eg	RYSiD9f6hMM4YbXYRnLzMg	yVuk1rUAafyLeD6ENapOfg	_P5uyPQWWiVyyvqyIE66Gw
Legendary Road	kanone	6	13	16	18	floor		xVEzCD-gChpMUqQNVp5yaw	xVEzCD-gChpMUqQNVp5yaw	DOyERUEeknzCAo6lW9XHew	zCHwME6xDjYejGJ3dXL7Lw	JHhpsza4jLDqsnggxYQ9Jw
SACRIFICE feat. ayame	Alstroemeria Records	5	11	14	18	toho		QL0TSlwe6ldGhmPS31Yx3A	QL0TSlwe6ldGhmPS31Yx3A	Uceu5xLU7magIUhP1Gr62A	F5P13Gxs-FxgSpLmUG7Zbg	peqA-wQGRD4Te2Hlni_GeQ
廃獄ドリームランド	SOUND HOLIC feat. Nana Takahashi	4	10	14	17	toho		UyGoYGLPyUvio6oC8j9_ng	UyGoYGLPyUvio6oC8j9_ng	T0VrqQrY_uFpg5tLDbvDaw	Jl2byC40dQDu_zViKqmcjQ	nDzgT-7OEzAWtv89Fp4Ypw
Burn everything	LiLA'c Records	2	8	13	16	toho		7faAPqfqdxKfpRI3NVJJ7g	7faAPqfqdxKfpRI3NVJJ7g	e380xYmQgu_TA5v3ht-9jQ	14tJi6hbqWKy743RO1Nn3A	4emJ75DaTZAGrFcezHN-RQ
冒涜的選択のアレグリア ft. Mayumi Morinaga	Iceon(Frost Fragment)	3	7	13	15	toho		AjNtWOUIta-lpjfw1A5FGg	AjNtWOUIta-lpjfw1A5FGg	uv7et0HaeCXDuaPBQvPNMQ	B8afEpqQ4wmDxHxrveAcJA	VVQghwzCq48ivs-m2YxUxg
Root Consciousness	溝口ゆうま feat.大瀬良あい vs. QURELESS	3	10	13	16	toho		BHMMCvjDIhh-CWY4j5LYyg	BHMMCvjDIhh-CWY4j5LYyg	lLHFUidcc6dmfV13p4lnaQ	abSDeGGolYDQjRV_nkcMpw	pBIwiUiR-j9tgrQrZS6k3A
オンディーヌの泪	かねこちはる	6	11	14	17	floor		w28pgnasut2-wOF-8Wu9uw	w28pgnasut2-wOF-8Wu9uw	3Zo2l6lInXF5nUlBHxbX0g	rxRHFij0wxYWlLwEzdWZ8Q	x3XiiofsbrTqvNi95e2VIw
ゴーストマスコット	はるなば feat.みかん汁	4	10	13	16	floor		aVNpVRpUU0JX-mhBsTQ1-A	aVNpVRpUU0JX-mhBsTQ1-A	Trcc3y0AHj0PbDgCU2MwMA	UZKfYMEh9LQ6N1-S6CaE-w	EMne1YTm-7pKtqXbpTKyvQ
Gorgetech	Shiron	5	12	15	18	floor		hYwO-dXcfMoC1f_oFkPKbA	hYwO-dXcfMoC1f_oFkPKbA	Hz8fIJAtOHDGZjjD8W9e9A	Patt3vU7TkiJFswKSEF-8Q	ooKi_0zeY5THJjelEu2rvg
少女救世論	暁Records	3	7	12	16	toho		_iuhE09T2ZaeS-V2I9te_g	_iuhE09T2ZaeS-V2I9te_g	h2kS2OZ1tw8fJzSuiBeR6g	WK8V1OMfRPTx4XC7FaxiQg	l4weYXDtGGH4vZ6DoFpFFw
Sweet Requiem	REDALiCE & aran	6	12	16	18	toho		k67gLfvpnjHk7QWYY_nBRA	k67gLfvpnjHk7QWYY_nBRA	XYD4UkRlSWv1H_fPMgAiEA	SzQ7Nk1H6n0cKksTgrPeCw	n1irE69QMuXGMVNioGxgpA
SprrRush!!	MisoilePunch♪ feat.KIRARI	5	9	12	15	floor		ia7QPRvbPpdBk_LUUYs0wA	ia7QPRvbPpdBk_LUUYs0wA	Ch9ZanUBtnrISl2svdQokA	nB_QOhF6PvDunpKulmAXUA	T2DwwBNV3qGduZ6h1xGW4w
つるぺったん	Silver Forest feat. くろねこ アキ さきち カガリ	4	10	13	16	toho		M_XaS8ZfVYrd37aKhaMKgw	M_XaS8ZfVYrd37aKhaMKgw	vhuiz-yOYv8pnHVuJ_lYuQ	1Jn0Rxv0UIWRIiw-B18Now	06O6H_wgRXA1NA2ggLTLUg
ぱあ	立秋 feat.ちょこ	4	9	13	16	floor		8NORXJB7eNwV2559V56bxQ	8NORXJB7eNwV2559V56bxQ	AvAXtdjVcFK_Ljf8evDqDA	S8442diX9Wyxu5B_cxVd2A	dHzFwFpURsCtUm9nv3RyDQ
Finale	A-One	5	9	14	17	toho		7ZAlNn9ifzIGKTV0U7q6cw	7ZAlNn9ifzIGKTV0U7q6cw	sS5fSIXcy8_EYlPtorprEQ	CvSwZejEPriM2RhKvxAXnQ	mcIehvOvceKsvDqg1A40oA
I feel something for you	556ミリメートル	2	7	12	15	toho		aHfhkynBWuADw_5vliIFlg	aHfhkynBWuADw_5vliIFlg	-s7_fDyh1G-Pl8wrNA0rIQ	ewCzWjlj4iW-6wZ0sTZ6Rg	SDOqLYX6bjf2aWBAtewE_Q
透明な記憶の風穴	少女フラクタル	4	10	12	16	toho		iAxZ8Gt4yE4PEswp6EskcQ	iAxZ8Gt4yE4PEswp6EskcQ	awgBmW-2-bPBaCOjmQD_xA	EjMQR8KsIvDaAmPC9zGURg	wKgaAgkE3Z8CR0qNMVRFcQ
FIRE IN MY HEART	Spacelectro	2	8	13	18	toho		kgi7i0NFZGVM190EaPApuw	kgi7i0NFZGVM190EaPApuw	0nMGKIgPxA1efbuqka9o2w	1sb8Oevz-dsq5Hu0SAAAAQ	XkXv20BXwJRMaPA6KziJRQ
幽玄の桜	音召缶 feat.Renna	5	10	14	17	toho		2-Pch6_SLgP93w-tPxbV0A	2-Pch6_SLgP93w-tPxbV0A	WvuUGYjeAAkmrsB5QIhr2g	v8-UiCfXGLzNLTxuwRLkxQ	7-xV5PKilXOqGnOpiyFx-w
雷鼓サンダービート	ARM(IOSYS) feat.ビートまりお(COOL&CREATE)	5	11	15	18	toho		MWsCNDLB1GvuN3SKYCclCA	MWsCNDLB1GvuN3SKYCclCA	GvO2r-E8qYKcC8_VncKGGA	gJTNwJAW5A2-8Shj49J2Mw	Bk5YkrwTqBuXh9YDrXjsCA
