title	artist	nov	adv	exh	mxm	genre	unlockRaw	indexjk	jknov	jkadv	jkexh	jkmxm
I’m Your Treasure Box ＊あなたは マリンせんちょうを たからばこからみつけた。	宝鐘マリン	3	10	14	17	others		NoasIGKr7pKxTIb0S_lgOA	NoasIGKr7pKxTIb0S_lgOA	FxIRnxbZ7zToGqeIazr2sg	Z7nwNGD4XN0pLNMt5OHaGA	7J5WOo_exvDDtKqcl7jbzA
Ahoy!! 我ら宝鐘海賊団☆	宝鐘マリン	4	12	15	18	others		gBMEb7Os_pxuTnHCFEg34g	gBMEb7Os_pxuTnHCFEg34g	isMbo3wZKCZPFH5jcPCkMQ	QuUUCGHfcsXnslr_4DQzGg	FFsUajnCUPiaVJMc5DJSHw
美少女無罪♡パイレーツ	宝鐘マリン	2	11	15	17	others		TdB-U7UGz6LUSS7JLVWwRw	TdB-U7UGz6LUSS7JLVWwRw	NzKa8Xc9OQRPNwjSOICrBA	Pftfgtee3CuzHtd0mMusnA	nHoPpNSjwsSMKyp3m0rjEw
幽霊船戦	宝鐘マリン	5	13	16	18	others		tjkf3Xe1SIzuQjxK2B0gWQ	tjkf3Xe1SIzuQjxK2B0gWQ	4MFkKh0V3MK-RkbygM9Shw	wdIfJ962z0gd9PADwJGdVQ	ew0yzV9nG3MR1nJnZ_f6lA
Come to Life	ARM (IOSYS) feat. Nicole Curry	6	13	16	18	bemani		10tsiQgM6u8ayw06YG7CnQ	10tsiQgM6u8ayw06YG7CnQ	427_fGVB3I3ybyKtO7T8cg	g51YM50qu6V8cHdCz34XDw	W3EoHIGadx6Jk5yhQ965Xw
COSMIC V3LOCITY	"BEMANI Sound Team ""Coyaan & KE!JU & ZAQUVA"""	7	14	17	19	bemani		j09H8h04CqOuCriQCXocvA	j09H8h04CqOuCriQCXocvA	t3NmEH5B8H6wd6-A5zGGLA	qfMG58UkiPmokyFY0bNurA	BJyxmXnmltOuZdJ9LzTgtg
SOLAR ECLIPSE	"Yuta Imai Vs. BEMANI Sound Team ""Yvya"""	7	14	17	19	bemani		nx19mxrrV95QQB5pZEpI6Q	nx19mxrrV95QQB5pZEpI6Q	srdj7PKpjAleTSaaGFNsxQ	Jz4_STxeLfbqLexGKb0Vjw	W9ZCRj1r8Eo09QOKsWsEIQ
Imitated Visions	荒谷サトル	6	13	16	18	floor		933bVZf8k-bkvB2aiZlrKg	933bVZf8k-bkvB2aiZlrKg	JsZwrhXZ0M7DNabie1epbg	xkOI8t1XKXISNg2kXxIGYA	5eXYpzbJNMEVj2_9NiaNRw
こどもかくしのアンダーランド	iru feat. 桃寝ちのい	6	13	16	18	floor		NsFMRJZ7eDtXDVbNFG6K-w	NsFMRJZ7eDtXDVbNFG6K-w	Ed1n5V3XQFq9s0wpdtgp9g	KO5pBtlGtnrpMdyJF2wIjw	brX5RueO_fVRDMfcJwiMEA
憧憬のファンファーレ	CHUBAY	6	13	16	18	floor		oFuF11kfIy7k_k7oSHmO_w	oFuF11kfIy7k_k7oSHmO_w	t7GRrEJZGIZRgfnveJ9rqQ	c9yms_l74bgnlkP4d3kQ2A	RTj77wspxvHbS4Lr9Z1WPA
Xinca	隣の庭は青い(庭師+Aoi)	7	14	17	19	floor		rAez1V8McBtwEfmiEyt0YQ	rAez1V8McBtwEfmiEyt0YQ	3aXgsN_ykK99PGFgjk7PNg	l8PU1eybLfA7nyJLwoQHLw	u-TIZYewDWF0I25Wlt-FiA
JACK -the KING Ki11ing-	打打だいず vs. siromaru	7	14	17	19	floor		9TJTvv8BnEV_Xj1TKgEGTg	9TJTvv8BnEV_Xj1TKgEGTg	STf0NpxCQ2igvrpHphMj8A	RNYMrCXFQdiPnRQaAt-tZA	8k-Jj0j89tGrocqYJZGiQg
すべてを賭して	ke-ji	6	13	16	18	floor		WZHwRhNRJ2MzQf-3SG6PaA	WZHwRhNRJ2MzQf-3SG6PaA	6cRyjw3_crblbh0_dcHUGQ	JGT8edQsv4gtff6Txgd6Hg	4zA5sssYhw8Rry4qv_09PQ
Don't you dare play GOD	technoplanet feat. Tamako Kinoshita	8	15	18	20	floor		XiJEQgpOLB8-mbfof6sohQ	XiJEQgpOLB8-mbfof6sohQ	4wuvJtTzzzM7ExB6FZ4RQA	YcPkmz23_bTXSDmWZYYUfA	gh5VAPRCazEXAAKFPhKs7Q
Voice 2 Voice n Voice	Acotto	5	12	15	17	floor		Yc-AT1yTsp6_bg7V7_H9uA	Yc-AT1yTsp6_bg7V7_H9uA	N38e2IKc0beW_v6kHFzaQQ	H37H2gLQo8cKMjdbBlMEmA	S-V9aKN5M9yTNiYJASJA-g
Growing Up／アニメ「この素晴らしい世界に祝福を！３」より	Machico	3	10	14	17	pops		B7oWyb6aslEfouge9DfZsA	B7oWyb6aslEfouge9DfZsA	CMZUkdG9s7RooV1Ui7uaVQ	bXNxHDAOGuwlUohLs_N9kg	QxLVDkzwC3S8tsaahDoFWg
GIGI BABA(brz_style)	brz1128	5	12	15	18	floor		85B9W4CezQLAPV0PuLhAOg	85B9W4CezQLAPV0PuLhAOg	jrOVKRXAbVHYfdu08pD4XQ	QIwsrCqwuzFvwFgB-4-P3Q	ILmX8mXKqBGvVsRO_1N1VQ
"PANIC HOLIC (かめりあ's ""24600 POWER"" Remix)"	かめりあ	6	13	16	18	floor		AedD4T1bc-3dCTl_R5naGw	AedD4T1bc-3dCTl_R5naGw	Pnwa_DF7DYaPNO4ahNhQhg	IXcT9Yc5V1B1usl455KRqQ	xO_NNT9ADEwpemKMLCkjiw
Four Leaves (Whitelily. remix)	Whitelily.(みーに&しろさきあや)	4	11	14	17	floor		PR9z_Pi6f94KvDNeE4z2kA	PR9z_Pi6f94KvDNeE4z2kA	iO1vKVVcvRWa9dWMr1vZNg	1sj81cbKIHIVNWOdTkcYcA	Ui2sNWPu1zfnotR0dxzaEQ
OROCHI STRIKE	"Hommarju & BEMANI Sound Team ""兎々"""	6	13	16	18	sdvx,bemani		w-NVNPSPzlPNdP5zxuBImg	w-NVNPSPzlPNdP5zxuBImg	HvUpWGL3-oCAYGR2Tyt8Bg	rtiRBW7Bm6oRcswdN8C-CA	ZdbnWOEWU_h97IFuI7jTwQ
Blφφdy Cφncertφ	OSTER project & RoughSketch	6	13	16	18	sdvx,bemani		b9cQ3SehEO6vC0MXeKHItQ	b9cQ3SehEO6vC0MXeKHItQ	LyfnP5AfKncGH6N-5iAG-w	0P_x4JVMxXKeyJo9TCfbJw	6v_LpnReEqGRGY_p6uyyow
REINCARNATION	P*Light	7	14	17	19	sdvx,bemani		5xVgYlBJ3lf2NzZyD0zVjg	5xVgYlBJ3lf2NzZyD0zVjg	OvAKlq67rW7fF0QrKM3-UA	MBqAwjer9UDYo5U4AoQofw	aClMxjLgpehZF5qfyBk6vQ
Lichtsäule	"かめりあ & BEMANI Sound Team ""PHQUASE"""	7	14	17	19	sdvx,bemani		8Iu_z78PmPv7n8Yh1D6mBQ	8Iu_z78PmPv7n8Yh1D6mBQ	_HO8wFkTXsWghypDhedWNQ	ZAd2sDUPwZ-hJzpZJ5MDWA	VlrwTbLxNdhnFiXqlH5eJA
Re:RHYZE	beatnation RHYZE	6	13	16	18	sdvx,bemani		fxpA2v79GSqIWdBIZQeGZQ	fxpA2v79GSqIWdBIZQeGZQ	nvlQfgc5WjoxhXDziqJ_4g	vr_UVLdN65TnYi9NkdnKyA	8J8AMn4S98yeTsRAlKGLUg
We Are GamerZ!	Ninja Never DieS!	6	13	16	18	floor		gTZCnkCEW7CJmRXISUko1g	gTZCnkCEW7CJmRXISUko1g	nMx9W9w1zK4b0EJxHYIziw	KfiaaiyvHAZqiOuGCRTGTA	D18-Ec9oD32lUEXJvpbqBA
∞vitUniverse	Lime	6	13	16	18	floor		gVmJx3dseDR1n6Ieu4maMQ	gVmJx3dseDR1n6Ieu4maMQ	a_COu66x0K9dQXrQbQN3SA	ImrM0JZKBFnXqxYWKRJspg	XrjbGdJrchS_y2hwZSPjBw
ハガネノツルギ	coTatsu	5	12	15	17	floor		IOiWCTcwy01aCaT5cwMNHw	IOiWCTcwy01aCaT5cwMNHw	9VtWcA1Cx78cdfa5Ix24bg	KAYhVVPz0oD2oqaeU52gWQ	wrvNH7zcmsIlN_goHvr2_Q
¡¡Fanta∽cramble!!	Potwi	5	12	15	17	floor		7qiqQPyVPSrM4BHiI9UNdg	7qiqQPyVPSrM4BHiI9UNdg	LvYvY5iO3BFroJMvRBbKWQ	2c_1ftdKTPdP1jq3ZDpqYw	tvT-nlKfyZVFG-7C9k2NxA
残像ニ繋ガレタ追憶ノHIDEAWAY	"SOUND HOLIC Vs. BEMANI Sound Team ""KE!JU"" feat. Nana Takahashi"	3	11	14	17	bemani,toho		D6Pp7FBbjHFdNP4nbzO6OA	D6Pp7FBbjHFdNP4nbzO6OA	AuqQbnv5668VOfbcdjFXGw	roRC35ou8lMP0rAWKSrGLw	G5itfiDXzeRa11FCKHSB6g
SUPER HEROINE!!	"Amateras Records vs BEMANI Sound Team ""TATSUYA"" feat. miko"	3	12	15	17	bemani,toho		tNi3ir1BnPmJJ1ClQ0knzA	tNi3ir1BnPmJJ1ClQ0knzA	Se6NzQ-X6yd1Sv9eNBQbFA	fVq1mAl_2rZCQ0gBjxZ_FA	IKRbG1vrCqGUtvTFhztuaw
弾幕信仰	"豚乙女×BEMANI Sound Team ""PON"""	5	13	16	18	bemani,toho		SmRieg_SbVC9O4y6inP58A	SmRieg_SbVC9O4y6inP58A	h0bFpLFZs7KKTWLMyvqG7g	tuKW5etk_l4qKvgQhpScCQ	1zuexZZgYdRg1Uls_XWgjA
閉塞的フレーション	"Pizuya's Cell VS BEMANI Sound Team ""dj TAKA"""	4	12	15	18	bemani,toho		u9Kbx4pJ7Odpax8qN-kaaQ	u9Kbx4pJ7Odpax8qN-kaaQ	Ht7P0Fvq2wTiZzs72TNJZg	qInfPg_XRPbY1sB7ftSFtQ	AomoVHdHLbKbVqxT3G-cbw
ARACHNE	MAX MAXIMIZER	6	13	16	18	bemani		k9XCQuh74BUkBKtF7aQZ5A	k9XCQuh74BUkBKtF7aQZ5A	Oc40ZINt_E4H-wj_7fLNvg	XaarYL57gdHJffVuz3jEqA	bBs6LdenJFyDk_aPipZVWg
梅雪夜	Qrispy Joybox feat.mao	3	11	14	17	bemani		ZdNsbk1HZAvkmDeKcECmmw	ZdNsbk1HZAvkmDeKcECmmw	2QIBRY9IWVwz6QBxkXNpYQ	f5aqcHnVvpwlO7N34YCCLw	AMdPQFELtFRcUhXiHeParA
Crazy Jackpot	Hommarju	5	12	15	18	bemani		ThQ-0BJk-syps4B0tsG2UQ	ThQ-0BJk-syps4B0tsG2UQ	wKcuOyatOu0ciBDtGH0aEg	I70IL2qGWlVpjnAa5MrkOw	EoEyhwjXSEqns7u5mUAp2w
黒紅掬い	猫叉Master feat.霜月はるか	4	12	15	17	bemani		aFwHTYpjXEVTUOeqVoF_1Q	aFwHTYpjXEVTUOeqVoF_1Q	TYHdonOczjCbzBdYU-MEKQ	LTMzOEkWdssF7EaGT9Rb4g	uUujkkNDFTrTveYmJ47XtA
Poochie	kors k	6	13	16	18	bemani		MSACF2VNVis_NiPuRkEPfQ	MSACF2VNVis_NiPuRkEPfQ	e3jVerSRz5bc8KTduP5ScQ	Lei42EK8TF6jjrL5SB3XhA	mi5YjYHGSKqlKh7IgE70gQ
アイの雫	kuro	6	13	16	18	floor		aBheiA2zQeQKXkfAVwf7Kw	aBheiA2zQeQKXkfAVwf7Kw	wrvbETdyrHiyfXzUWG-TdQ	buHO73WE2xO68c2CPmaTkQ	5Vy4r4Wp86CxqPs7gKe44g
Almandite	7mai	6	13	16	18	floor		UjJgBdmNsriIi7TTvisQMw	UjJgBdmNsriIi7TTvisQMw	kMHZJw8BnMFaHGM7465oBA	kCSLwfrkjg-5iF4yIacVSg	m5wZM9aRZZItvhkOyArEow
邪魔をしないで	Symholic feat.狛茉璃奈	4	12	15	17	floor		z3khbZxWTWIK95VVSz6TOw	z3khbZxWTWIK95VVSz6TOw	_jcVjhIal80HOMEuF8NA6g	gs97tyoTtHS7OHEpJUE3HA	XNtxP3Zu2uaiyqUriUT2Xg
Hopscotch	GrivR.	5	12	15	17	floor		FxgZ2OcdM-0h_mIkMaITQQ	FxgZ2OcdM-0h_mIkMaITQQ	Y87uwzOU9n9frC57ghX4fA	N1lvnH32fbgDNdvTYz1jGQ	Oks8m46WZASZnL1al9G4Gg
XΛLT=ØVER	Ashrount	7	14	17	19	floor		T0ahBiWf0hzTcPUO35Cduw	T0ahBiWf0hzTcPUO35Cduw	XzUI7FMWiW8Lrn-mX-Nzeg	y9zqpyy-7tI4EH_9vrB5sw	VgNjS1NJUpl2jY6u08uzBA
Entropic EnĤαncemEnt	CHUBAY	7	14	17	19	floor		l-JszqeYH-YML2c5Zad3Fg	l-JszqeYH-YML2c5Zad3Fg	K0fAjFlx21LtXfIJT2yqlA	XURP6JzHjazpEONk8XyYug	8o8OqSe_snIl0b8-fJA__A
SAD1STIC Я04D	Enterskip	7	14	17	19	floor		iRCEHSFJcLYMyZUI8CW_mA	iRCEHSFJcLYMyZUI8CW_mA	NXU-N_unhO_W1ceU0T9zXA	5zqq7PRUAjvSa5-tvhAliA	qtYwhHMk4NPhL45haJ-vsQ
Sweetie Beauti Magic	打打だいず feat. 凜々	6	13	16	18	floor		oeDmCWz0CuPR4GX062pn7A	oeDmCWz0CuPR4GX062pn7A	iV3M_iL0dKJjz6JZL0rDdw	eNzu2cc0MnnDIiZRQaRjTg	aqevBKx9FVLHX6rYGmqMWQ
月明りの旅人たち	coTatsu	4	11	14	17	floor		myGDj3GiJqMqDRYfYE9xwQ	myGDj3GiJqMqDRYfYE9xwQ	5_xPWRgJoWlb0cVgnG4UQg	wMG3xIMJwySI_GhhX3HtEQ	4PiE-ihFJFKd2aN8zy__IA
Two of Wonder Lights	technoplanet feat. Tamako Kinoshita	6	13	16	18	floor		Ae7j_JvRHaJGZNW-PUg8GQ	Ae7j_JvRHaJGZNW-PUg8GQ	L5hTnXO01-_gljeJvdLQEg	xBazui2DyCs5Ly8RU_lmzA	SSpgmYvb5LU104vc5O1zuw
トキノコエト	setu-O meets 駄々子	6	12	15	18	floor		5D_4orE4RwpQfl6d-ntCKg	5D_4orE4RwpQfl6d-ntCKg	-Xha81LrUthJXp9ujdEWqA	_aY8gZNRm0npyqAGL1DeKA	-Mix8EEus-tJ_pJaBgdH-g
Vigor(siqlo's Hi-Tech Veats)	siqlo	5	11	14	17	floor		iYxyeCVaUo7CRJoTk5hGxw	iYxyeCVaUo7CRJoTk5hGxw	5_In8cvlNV8k6rH8M17BVw	YFkZN2uJmwLUfRICRSXdIg	i9XZ7wtBUL6pirn9cTpGJw
おにいちゃんグリッチホップ ～eternal love remix～	HOUJIROU feat. 杠葉えりか	3	12	14	17	floor		38l5JqLl26wXsr7UNriDww	38l5JqLl26wXsr7UNriDww	ZKCgkd7Eu0VQ_j0PDgQx1w	8GUbrbk9cGcgnGaqEwp2NQ	M2GAYKzrExt5QYfHG34ogQ
Scarlet Pinheel -appassionato-	BlackY	6	13	16	18	floor		T1YoGQ1EAhd3YzqmyyLDiA	T1YoGQ1EAhd3YzqmyyLDiA	-Uc_PclsCQHDEIcamh5DNQ	JjvoFsAGZqQcqZAMPSRNAQ	rbj4xBlhdPtWAjS3HxYSQA
ミュージックプレイヤー （J-pop Remix）	technoplanet feat. Risa Yuzuki	6	13	16	18	floor		0ihW6R5uisjK7Jq-oMg7tw	0ihW6R5uisjK7Jq-oMg7tw	7yKWm5z16hFB-xyA12ElyA	AkPfSt5lSD5EusLjeLR3Ww	9TD5yv90gAfO9TwfCKHEbg
WobbleTangleFestival (影虎。 & ikaruga_nex's HDM RMX)	影虎。 & ikaruga_nex	4	12	15	17	floor		DLa61Itz4rYHp3IDSGVx_w	DLa61Itz4rYHp3IDSGVx_w	r2RVcWS9k_k-PEmhXCq9zA	oSGNZjqrZavAy-2zgz8NiA	ZC6DdKha8K2J7O4yHxT6TA
King's Gambit	brz1128	6	13	16	18	floor		RIoy8tF5pHgFVomwmmO9iw	RIoy8tF5pHgFVomwmmO9iw	o4Mdg5kN1Khn1rUfJhb8Og	jrxF06q7EGaORsWqcH9Abw	isaBYxUdiN1jvQZiNPznmQ
七七七夕	Mono. + uynet	6	13	16	18	floor		yCGvlied-n3JYw_B4JRRnQ	yCGvlied-n3JYw_B4JRRnQ	0tBrHEyMNnGODAXFcs1tSg	7_WOgdJctpmzcBXWL5GRuw	tFm5jyfypyh62y3tiG1smA
HEAVEN KNOWS	U-ske feat.石橋桃	6	12	15	18	floor		iZ2CHT3Nnxz9P7Q5LPzOmg	iZ2CHT3Nnxz9P7Q5LPzOmg	bvlWYiG4vsnK8eLAvWDgTg	1LTIq5UWR4sFSUlyljNsxQ	6mLHq97AAAx6mQkE5JXHOg
You Only Live Twice	Sephid feat. aria	5	12	15	17	floor		PPSmA7PDJsQwcWSDE4m7rw	PPSmA7PDJsQwcWSDE4m7rw	9mQWw0Jzq-8cyaLusUBzWw	xya4ZskejnE2S2GADSMtgA	ikuh77vyJ8LQMqflaTs2Jg
愛昧ショコラーテ	角巻わため	2	9	13	16	others		OqsN8XS_woWCGyRuhPK1Qw	OqsN8XS_woWCGyRuhPK1Qw	Rm42JkvYGA5qwmtYywafKw	L7gdpHr0QVtw3JPNiipdgw	LYKhba4-DZdw6xCN_Rcpbg
曇天羊	角巻わため	3	10	14	17	others		5CNQ-Rc-7gyvWTGoa51ZRg	5CNQ-Rc-7gyvWTGoa51ZRg	XFC8cj9h9UJWCWx4WioNSw	OCdeG3O4Z1ROh2r84kjdMw	oXGf6LaphDPoeZEebRaDGA
My song	角巻わため	5	12	15	18	others		Irat_vBu282r3a2inhYejA	Irat_vBu282r3a2inhYejA	BM7HfsQ3fi5th5ZEOJwauw	MtpSW9yxLAu3UVPi4mXkag	w4rFqD8iDdUPeDylpftLUA
What an amazing swing	角巻わため	4	11	15	17	others		kniuVUA6DP0d_zwOISOlkA	kniuVUA6DP0d_zwOISOlkA	nuUyVajiaaiuaSSbrau85A	7XxTGJ6nwN0IfcMSQfRTVw	_36-enrweYNUuhF5LRWwTQ
Appliqué(Vocal Remix)	nonomori feat. Nanao	6	12	15	18	floor		18fscvVe5CgxD7RX275I9w	18fscvVe5CgxD7RX275I9w	r_Jisn2JbnGmi_wJQnqZTg	Xr63yAGOzS75iM25D3tNzQ	A1IZDc8OA9hFneX0S14mxg
Gate of Atlantis (Vocal ∞ Mix)	MasKaleido feat. ぁゅ	5	12	15	17	floor		JriTS1w5Vb7kur85TrCM4A	JriTS1w5Vb7kur85TrCM4A	sBYRVSgl8v_qz0LlKLvc1g	qYcum561m_9emVOAbUQqxQ	GwAZ--8SILZema0tWuaWtA
The setting sun(burst)	nozakita kazumi	4	12	15	17	floor		s4fs2CO5QVY8N3XQMGRInA	s4fs2CO5QVY8N3XQMGRInA	UeUZ0JgPWGxDcAruViN5_A	zFMnthiKkdlz8VNgvh3x5g	3k9zmSFLXAXfMCsO9gFWQA
Max Burning!!(GαineN Beyond yΩu Remix)	概念	6	13	16	18	floor		79KzWyDIxQY054XH_vrpnw	79KzWyDIxQY054XH_vrpnw	ZaDcM-POpvD-GG9NGHjQ2w	P_FuxFgu3GuFu6F2YVqn4g	DlfQIUdtjdTh495twTqZjA
ARISE	Juggernaut.	7	14	17	19	floor		rv_NEOS_pQdCrK-FG0EcSQ	rv_NEOS_pQdCrK-FG0EcSQ	JM0Tqezz0rEDJ6Q7NhfPyA	iAsxpMiGCtfSOrIj_bVIUQ	XGRxw9S6Wqw-m45nYkRLBA
Allegro Saetta	天束 vs. siromaru	7	14	17	19	floor		hwlA74z5TZKsa976uxBP0A	hwlA74z5TZKsa976uxBP0A	7m3r7xgXLq5WOw1jiuJCEg	RLnlrv6i7Cs_fsyh_mu0bA	sOO9q48JkwsYL-zApwH0hw
{ eXLIPXe }	{ かめりあ }	8	15	18	20	floor		z1YGj6KOY7yfSVwBW6qMlQ	z1YGj6KOY7yfSVwBW6qMlQ	BXvJlKUsY38U1MCTKR2KZQ	qqFhMoAewNpT13pom1pE6Q	3XtTI6ElyFawN-Jnq492eA
ウイジン	"CHUBAY as ""NOVICE"""	6	12	15	18	floor		k1nye2RhpRJs9qCLV8ONGA	k1nye2RhpRJs9qCLV8ONGA	Qd3vEoZNcDivpRprVcz61w	AvziQZ7oM_34K1IDQeVS-w	MsiO122dQcAb-TEU8_sSRg
Ex concordia felicitas	Connexio	5	12	15	18	floor		7OqXVicyR1jzDIyJ4MzHbA	7OqXVicyR1jzDIyJ4MzHbA	iMuD-9e2y7Nv0WnZeQ2KSg	RVD7uVMzIcmv1J6x8Ry4fg	opkYBeZfWg64h9s__67ybQ
Colorful Magical Parade	Tsubusare BOZZ feat.madoka*	5	12	15	17	floor		FteGSJZoWpANsCkeXrZbcQ	FteGSJZoWpANsCkeXrZbcQ	lIW16dcJ0fvMj8Hp11gbhg	hPCxSTWs2yTrq4MH0s8n2g	YFfQz_4nI061PydaQmp29w
StellarflightS	otoshi.b	6	13	16	18	floor		iiIUpYumn81_q_rRSZjrTA	iiIUpYumn81_q_rRSZjrTA	fUBR2K8DmxTZU0ty7eglFg	-0Fo5RVg7iEqNctPrNhV_g	e0uFzhIGsgj61-wO9Ns5-A
Knew Order	あまみ×ひなみ	4	13	16	18	floor		vWgcFxhcJDsgR7iaKmR-Ig	vWgcFxhcJDsgR7iaKmR-Ig	aeq-96yPqVOokOZP-NRBIQ	hKQzFkb-Z_Oqu9yMfQDpfg	2mbuaK_8M_Y7bRYe3vyFdg
NO SURRENDER	493Water	6	13	16	18	floor		OpyMQ6-du7OdXiimXoPXiw	OpyMQ6-du7OdXiimXoPXiw	8KDn7uH1PkX4Dc6SiUN7fQ	npJq5TEkWAjnf5OybH5t5g	klD04IOk3aVg-Vs7jLPZRA
BEMANI PRO LEAGUE -SEASON 2- SOUND VOLTEX ULTIMATE MEDLEY	FLOOR LEGENDS -BPL S2 SDVX-	6	13	16	19	floor		4yed6CAcvtAIi6Rc9Xg-VA	4yed6CAcvtAIi6Rc9Xg-VA	x0yqnqVZA_-Pz-u7-PR00Q	mBJ8fNnlCoggmN6Ep2pi-Q	7vJjeiEpIXyJ8IYp1TYI6Q
プリュネシエル	瀬名 feat. 音羽ことり。	4	11	14	17	floor		1fCUDeEoi_ln2kpBmqUq0A	1fCUDeEoi_ln2kpBmqUq0A	kCz_r-gckUpCLcwpSHqGQw	l5dvpGLIWRyW0lJKAK-K1g	eezPLrp4tkhvb0gtxesP7g
Cuz we <3 this Game	打打だいず	7	14	17	19	floor		IISfHciu8vjO8u6NyyI7Kw	IISfHciu8vjO8u6NyyI7Kw	nNfF6-ia_jCTvMyvj5QIKw	FzynzvkXqzpwoxMyRL4yDw	pGqR1IKJTqKUWnAV89DnNw
Xeno Gravity	xi	7	14	17	19	floor		Wtesuln4mxYQzZfLzDBs6g	Wtesuln4mxYQzZfLzDBs6g	5_DozKkc7e74pBUTfHMC5Q	quLvnl3Udw1OQVApD80TQQ	1KNuae6XBg1_CCD1ssuSIQ
NEMSYS ARENA World Hexathlon	隣の庭は青い(庭師+Aoi)	8	15	18	20	floor		2XzDzJauYCitW2H1-34MwQ	2XzDzJauYCitW2H1-34MwQ	_mePF6sb2-E5ifLVBeuUTw	8xMODoypgCmn7dAju3Z9Xg	sCGD-6StuFQpVwqNNprIhA
異次元の孤独～カナタノキミヘ～	RoughSkreamZ feat. Sennzai	6	13	16	18	floor		LtWfwYmEWNbqfO4XgFYNTA	LtWfwYmEWNbqfO4XgFYNTA	cWpr2bQDe9pIbk21vMoCjQ	ib1Hl2G1RkGO3klgKwRonw	att28vnkDqoFyeuV8xYBWw
Crawl Out Immortal	U-ske feat.Parfaitty	5	12	15	18	floor		5WBoISaYq1sZtt7kgX5ZBg	5WBoISaYq1sZtt7kgX5ZBg	0N2cfcFYoqSeC3bfiYZ9JQ	SCOTlNZxQ-701ZQw2-M6iQ	cUJi581CI6iu1ZjM0JGkMw
SΛMVICΛ	seatrus -Reborn-	6	13	16	18	floor		5vl8Ag_o4hPfk1UojaZm1w	5vl8Ag_o4hPfk1UojaZm1w	A_dPmM4OUp53g1x2ALGfuw	kZvBTNbAgdcDo4TD_7ROWg	qUJBt5peaAp2APBPS1nnIQ
MΔX FLAVØR	EmoCosine overlay	6	14	16	18	floor		E1OC9IcOfiMqcSZpHAyk_A	E1OC9IcOfiMqcSZpHAyk_A	_5jqAtO5Z1UqUO_dw6EXlA	vCiQE015D6zx5A2XS15H2g	1oGOIdagOav8sKn7X53x5Q
Ars Magna	Riz	6	13	16	18	floor		xqavXiKAYKlxynItUQer4g	xqavXiKAYKlxynItUQer4g	w_uQVSrIk4vl2NogVeuO_Q	WP3SbJ73jgq1b4GkiDLHSw	Vy7lJgvEfJNIKVAMdEW_fA
Inevitable Magic	Alkome	6	13	16	18	floor		tXaMJOWD81tmrW8TurN21Q	tXaMJOWD81tmrW8TurN21Q	MRvyIEYDrD5kIoU4c0EoLA	2GxJdeXgyKUnpb8aXEGY_Q	t1zwYbJEr4QQhLJI3giqrg
LOVE TONIC	影虎。	5	12	15	18	floor		ZVDJvSC5fx9tTI0mhC9Irw	ZVDJvSC5fx9tTI0mhC9Irw	nS7rZKbSvkaZm2jjcDD9Yg	lSBNQnowy9kj7gkn9tOpvQ	EEW-COnS4FFpHOIVzrYy5g
waxing and wanding	青龍	6	13	16	18	bemani		NlULHwSBix6ZKGXqbzfj3Q	NlULHwSBix6ZKGXqbzfj3Q	7UPFujswnaTYCtay39YcRw	2TzO3L5eqQVlz6_Mr3dLYw	FCogZOUd20xXDciuD_J4ng
グリーディ・スターズ！	みーに feat. しろさきあや	5	12	15	18	floor		_IdVkMWlXr4Vk6h7mPWEbg	_IdVkMWlXr4Vk6h7mPWEbg	K41jNnqKSFJAYMi_16oAIw	uxSGrogRp6UZ0N89Hm3USA	lZ22i2hON3JEUSS63ALKyg
Di-Da-De-Doo	Yu_Asahina ft.Mizutama	5	13	15	18	floor		qwK9ms93HXSHjnfyowPkQA	qwK9ms93HXSHjnfyowPkQA	ug2cNe7A4pLlOeQwntDeaQ	QWOPYtp0bJqv-5jwqfCVnQ	086RSry-bsBr2eQTJrnhVA
Break Through Δpex	Halv feat.Kuroa*	6	13	16	18	floor		vSxDS0Q0T7DYE9TW-Ydnmg	vSxDS0Q0T7DYE9TW-Ydnmg	_O9LROei4q9Lst_k0qZ5Lg	_-SuzWcfX58ka7i75AQAZw	CeyvTR3b_ktBDAIEK18Yzw
イグジスター	東雲蛍 feat. はぁち	6	12	16	18	floor		sGscT7-g6cSTiUlAdfZw5A	sGscT7-g6cSTiUlAdfZw5A	JvrKAyCyc4jA5jFsgv5deQ	AhE_EttpJQNVcFx23wOuFA	8sQk-4Hj5etPKFEg722G8g
カミサマ・ネコサマ	猫又おかゆ	3	10	14	17	others		Yvvl3QSUKoflj1DP-UOlrA	Yvvl3QSUKoflj1DP-UOlrA	Q256fu_rHj6HfzC9aTB5bQ	A38HietlVJScO5f6JJa0jg	zMCUGj3Qq0O6qGBJtwmhjQ
毒杯スワロウ	猫又おかゆ	4	12	15	18	others		kUTOvVGw4Ks8wfUZymxAbQ	kUTOvVGw4Ks8wfUZymxAbQ	d1TTVoUws9r1HOL1IVqKCg	nQjMtgXR_mY6rQqKiTSZAg	CxA6b72Gj1uu-ObNX1n9Qg
花火のおもちゃ箱	Yu-dachi	5	12	15	18	floor		2cxjpIh09HNE7HnqyJwDmA	2cxjpIh09HNE7HnqyJwDmA	P9mRHLPpp59m96E3DQlOpw	ny7MTKemZkFek2iBKfAeFQ	NsGYY0qJ6d_6rmF3Jj5tzg
